SNO,District Name,Total Scheme,Total Village,10 Lakh Scheme,10 Lakh Village,Total Fund Released,Agreement Cost,Expenditure Till Date,Fund Returned Hq,Balance Fund,OHT Repaired Count,OHT Repaired Cost,TW Repaired Count,TW Repaired Cost,TW Rebore Count,TW Rebore Cost,TW Total Cost,PH Repaired Count,PH Repaired Cost,SQ Repaired Count,SQ Repaired Cost,BW Repaired Meters,BW Repaired Cost,PP New Count,PP New Cost,PP Repaired Count,PP Repaired Cost,DS Existing Repair,DS Replacement,DS New Extended,FHTC Total,FHTC Repair Count,FHTC Repair Cost,FHTC New Count,FHTC New Cost,Road Bituminous,Road CC,Road BOE,Road Interlocking,Road Total,Campus Repaired Count,Campus Repaired Cost,Chlorination Cost,Other Work Cost,Unnamed: 45_level_0
21,Pilibhit,65,92,16.0,25.0,108.34,73.06,73.06,35.28,0.0,6.0,3.72,,,,,,8.0,3.25,1.0,0.55,5.45,0.26,0.0,,4.0,0.46,36.72,,,1303.0,1167.0,19.46,136.0,5.01,,,,,,,,2.23,1.4,
22,Lucknow,23,33,16.0,21.0,113.69,100.32,97.35,8.12,8.28,1.0,0.84,,,,,,,,,,,,,,,,76.85,,,8701.0,1042.0,6.91,50.0,1.51,,,,,,,,,11.07,
23,Ballia,190,363,14.0,14.0,101.31,105.93,101.31,0.0,4.62,14.0,35.11,0.0,,,,,14.0,9.3,14.0,4.5,153.0,5.69,1.0,,14.0,7.53,0.59,0.88,2.34,7528.0,5.0,0.19,43.0,1.85,,0.67,1.25,0.67,1.42,14.0,8.54,10.84,13.01,
24,Varanasi,63,157,13.0,25.0,169.71,99.2,64.8,0.0,104.89,2.0,0.18,1.0,3.94,,,,1.0,0.14,,,,,2.0,2.29,1.0,0.09,3.82,1.44,34.3,1629.0,68.0,1.29,89.0,2.14,,,3.68,8.27,8.63,7.0,0.34,2.51,0.36,
25,Kanpur Nagar,77,93,13.0,15.0,121.97,81.86,78.72,42.83,0.0,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.72,2.0,0.57,19.7,1.39,7574.99,484.0,264.0,6.55,220.0,6.19,0.0,11.87,0.5,8.85,20.75,11.0,0.6,0.33,4.22,
26,Farrukhabad,84,120,12.0,18.0,147.39,101.45,85.91,61.48,0.0,7.0,0.88,,,,,,,,,,5.0,0.17,0.0,0.0,9.0,2.31,13.41,18.49,0.23,1088.0,1008.0,12.48,80.0,2.91,0.81,14.7,4.2,6.3,25.89,,,0.0,9.43,
27,Chandauli,26,58,12.0,29.0,187.02,183.03,181.3,0.0,5.44,7.0,9.28,,,,,,9.0,5.58,1.0,0.59,209.25,3.04,,,7.0,4.46,28.31,16.78,61.06,,,,566.0,13.27,,6.25,13.95,9.73,29.93,1.0,0.11,2.35,6.54,
28,Kannauj,128,157,10.0,10.0,95.22,53.8,46.06,49.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52,0.0,0.0,3829.0,,2.17,0.0,1.23,0.0,3.29,1.29,1.21,0.56,0.0,0.0,0.0,19.33,
29,Jhansi,70,123,10.0,10.0,93.84,61.07,60.72,33.12,0.0,3.0,0.25,,,,,,,,,,,,9.0,17.91,5.0,1.82,12.8,,2.31,262.0,224.0,5.29,38.0,1.09,,4.13,,1.13,5.26,,,8.18,5.83,
30,Shravasti,41,47,10.0,10.0,89.35,88.16,87.96,0.0,1.39,10.0,3.97,,,,,,,,,,,,0.0,0.0,11.0,7.49,49.24,,,472.0,207.0,3.35,265.0,10.38,,,,,,,,,13.49,
31,Amroha,47,57,9.0,9.0,94.74,69.0,64.53,30.2,0.0,,,,,,,,,,,,,,,,,,13.91,0.18,0.76,,2194.0,31.53,122.0,4.22,,0.58,0.18,0.9,,1.0,0.38,5.6,6.14,
32,Hathras,39,46,9.0,9.0,100.57,0.0,0.0,100.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Muzaffarnagar,130,143,8.0,8.0,58.58,52.18,52.18,6.4,0.0,7.0,5.87,,,,,,,,,,,,,,9.0,4.81,10.9,5.01,,309.0,249.0,2.87,146.0,5.25,,3.64,,0.99,3.56,,,0.95,11.34,
34,Baghpat,83,83,6.0,6.0,66.75,50.77,50.77,16.0,0.0,6.0,1.21,,,,,,5.0,1.0,,,,,,,3.0,2.05,3.2,,7.69,1088.0,849.0,13.51,239.0,5.93,,0.1,,7.51,4.51,6.0,2.04,1.06,5.45,
35,Lakhimpur Kheri,116,139,5.0,5.0,42.37,34.92,39.17,3.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Ambedkar Nagar,18,28,5.0,5.0,49.44,44.36,44.36,5.08,0.0,4.0,5.7,2.0,1.3,,,,5.0,2.94,,,,2.39,,,1.0,0.62,,6.2,2.86,,311.0,4.41,22.0,0.92,,0.15,0.77,1.23,,1.0,0.89,0.56,13.42,
37,Kaushambi,31,47,5.0,5.0,48.21,44.64,43.28,4.93,0.0,,,,0.0,,,,0.0,0.0,,,,,2.0,5.39,,,2.09,1.5,15.38,,,,49.0,2.04,,0.06,1.47,9.08,,,,1.44,5.15,
38,Sant Ravidas Nagar,19,52,5.0,11.0,69.63,57.0,56.88,12.64,0.0,5.0,3.82,1.0,0.37,,0.0,0.0,4.0,3.29,3.0,1.85,0.0,0.0,,0.0,3.0,2.89,2.23,5.2,13.26,249.0,75.0,2.39,167.0,5.42,0.0,2.36,1.18,2.77,6.04,2.0,5.42,1.43,4.01,
39,Kasganj,23,26,3.0,3.0,35.99,29.41,28.02,7.97,0.0,3.0,3.58,1.0,0.97,,,,1.0,0.13,,,,,,,,,3.8,0.58,6.38,448.0,372.0,3.63,76.0,1.97,,1.25,0.32,3.5,1.66,1.0,0.07,0.21,1.46,
40,Barabanki,118,192,3.0,10.0,83.24,43.1,41.63,41.61,0.0,3.0,1.25,2.0,0.5,,,,3.0,0.3,1.0,0.15,354.0,0.79,,,,,13.38,11.2,,1078.0,331.0,3.95,109.0,2.35,,,0.06,0.02,,,,0.63,7.05,
41,Kanpur Dehat,42,60,3.0,3.0,33.51,21.73,33.51,0.0,0.0,3.0,0.11,,,,,,,,,,,,,,3.0,1.92,2.22,9.46,3.74,119.0,77.0,2.63,42.0,1.74,0.42,1.88,0.76,6.81,9.67,3.0,0.47,1.35,,
42,Sultanpur,38,67,2.0,3.0,34.22,33.88,33.65,0.57,0.0,2.0,3.35,2.0,1.31,,,1.31,1.0,0.12,1.0,0.18,25.0,1.61,,,1.0,0.76,3.58,,4.05,339.0,107.0,2.09,232.0,10.02,,,1.93,1.5,0.4,1.0,0.12,0.99,2.61,
43,Jalaun,56,63,2.0,2.0,3.68,3.68,3.22,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Fatehpur,88,157,2.0,5.0,22.4,22.22,22.2,0.2,0.0,,,,,,,,,,,,,,2.0,5.34,,,3.12,3.43,0.91,,,,86.0,3.72,,,,,,,,1.5,3.18,
45,Hamirpur,105,147,2.0,2.0,17.01,14.41,14.41,2.6,0.0,2.0,0.05,,,,,,2.0,0.36,,,,,,,,,1.09,,3.7,301.0,25.0,0.62,30.0,0.91,,3.74,,0.15,3.9,2.0,0.12,,0.91,
46,Azamgarh,94,172,2.0,2.0,21.91,17.89,8.77,13.14,0.0,1.0,0.64,1.0,0.61,,,,1.0,2.54,,,,,,,,,2.66,,0.37,21.0,21.0,0.26,40.0,1.52,,0.14,0.04,,0.18,,,,,
47,Sambhal,26,29,2.0,2.0,17.94,10.94,10.94,7.0,0.0,,,,,,,,,,,,,,,,,,1.13,,1.78,2628.0,99.0,1.32,60.0,1.91,,0.56,,2.13,2.69,,,1.16,1.02,
48,Amethi,27,36,1.0,1.0,9.44,9.12,9.12,0.28,0.0,1.0,1.17,,,,,,1.0,0.63,,,,,,,1.0,0.38,1.82,1.95,1.22,148.0,18.0,0.32,23.0,0.64,,,0.29,0.38,0.67,1.0,0.32,,,
49,Banda,57,106,1.0,1.0,2.95,2.5,2.5,0.45,0.0,,,,,,,,,,,,,,,,2.0,1.52,,,,,,,,,,,,,,,,0.43,0.55,
50,Lalitpur,31,118,1.0,1.0,8.76,7.42,7.42,1.34,0.0,,,,,,,,,,,,,,1.0,1.6,1.0,0.9,1.37,0.64,,,,,9.0,0.24,,0.32,0.03,0.16,0.51,,,0.96,1.2,
51,Ghaziabad,29,29,1.0,1.0,5.12,0.0,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52,Saharanpur,113,129,1.0,1.0,10.87,10.87,10.87,0.0,0.0,1.0,0.45,,,,,,,,,,,,,,1.0,0.18,2.26,,,324.0,100.0,1.07,,,,2.2,,,,1.0,0.05,0.23,4.44,
53,Moradabad,36,42,1.0,1.0,9.58,8.19,8.17,1.41,0.0,1.0,1.73,,,,,,,,,,,,,,,,0.68,,,,75.0,0.65,,,,0.73,0.17,2.38,3.27,,,0.29,0.02,
54,Meerut,96,101,1.0,1.0,8.18,6.55,6.73,0.0,1.45,,0.48,,,,,,1.0,0.17,,,,,,,1.0,0.36,0.41,0.31,0.1,84.0,22.0,0.25,62.0,1.29,0.65,0.6,0.05,0.92,2.22,,0.06,0.32,0.75,
55,Mathura,75,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Hardoi,31,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Bulandshahr,81,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Rampur,54,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Raebareli,43,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bareilly,36,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Aligarh,43,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Mirzapur,72,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Hapur,70,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Auraiya,37,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
